[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 85.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 86.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 87.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 88.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 89.
[2025-02-14 14:32:54] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 90.
[2025-02-14 14:32:55] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 91.
[2025-02-14 14:32:55] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 92.
[2025-02-14 14:32:55] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 93.
[2025-02-14 14:32:55] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 94.
[2025-02-14 14:32:55] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 95.
[2025-02-14 14:32:55] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 96.
[2025-02-14 14:32:55] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 97.
[2025-02-14 14:32:55] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 98.
[2025-02-14 14:32:55] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 99.
[2025-02-14 14:32:55] [INFO] [SimulationRunner::run_simulation] Vehicle flow_10 started at None with destination None and max speed 0 m/s.
